,id,year,week,neutral_site,home_team,home_conference,home_points,home_elo,away_team,away_conference,away_points,away_elo,spread,margin,h_drives,h_d_explosiveness,h_d_successrate,h_d_stuffrate,h_d_totalPPA,h_o_explosiveness,h_o_successrate,h_o_stuffrate,h_o_totalPPA,home_team_cover_spread
0,400603840,2015,1,True,South Carolina,SEC,17,1646,North Carolina,ACC,13,1477,-3.5,-4,10.0,1.1156372835093082,0.46153846153846156,0.14285714285714285,7.968428434411583,1.130577825762013,0.4266666666666667,0.1702127659574468,9.157397121020475,1
1,400763593,2015,1,False,UCF,American Athletic,14,1626,Florida International,Conference USA,15,1321,-17.0,1,12.0,1.3976425843563314,0.36231884057971014,0.23333333333333334,15.894630161887902,1.3654775623235083,0.40625,0.4666666666666667,4.270421867419144,0
2,400763399,2015,1,False,Central Michigan,Mid-American,13,1417,Oklahoma State,Big 12,24,1567,20.5,11,12.0,1.2346682639325082,0.4264705882352941,0.18181818181818182,18.608247071092766,1.0228963757081324,0.4166666666666667,0.3333333333333333,8.286312363523937,1
3,400603839,2015,1,False,Vanderbilt,SEC,12,1365,Western Kentucky,Conference USA,14,1521,-17.5,2,13.0,1.001897832802073,0.39622641509433965,0.38095238095238093,4.754121853062472,1.0418762353053532,0.3974358974358974,0.2926829268292683,-3.6851312431617944,0
4,400756883,2015,1,False,Utah,Pac-12,24,1603,Michigan,Big Ten,17,1553,-3.0,-7,11.0,1.1630959459753274,0.4520547945205479,0.2413793103448276,-1.1847957079055191,1.0855314928614577,0.39436619718309857,0.25,7.254695565252793,1
5,400787302,2015,1,False,Idaho,Sun Belt,28,1167,Ohio,Mid-American,45,1321,7.0,17,10.0,1.2284069081733695,0.53125,0.1111111111111111,30.39388027378515,0.8326282367949148,0.5384615384615384,0.08,7.382797124149852,0
6,400763398,2015,1,False,Minnesota,Big Ten,17,1633,TCU,Big 12,23,1963,16.0,6,14.0,0.9548919364653907,0.5,0.11904761904761904,14.582142471279871,0.922300415031336,0.40540540540540543,0.13513513513513514,8.55716981108355,1
7,400756894,2015,1,False,Tulane,American Athletic,7,1311,Duke,ACC,37,1572,13.5,30,14.0,1.0615624069202196,0.4787234042553192,0.14583333333333334,18.984843721864845,1.4273958846177535,0.26153846153846155,0.2631578947368421,-4.501263290952904,0
8,400756882,2015,1,False,Arizona,Pac-12,42,1649,UT San Antonio,Conference USA,32,1294,-30.5,-10,14.0,1.0532689792289192,0.4479166666666667,0.1836734693877551,17.896088296944125,1.503329821854197,0.3835616438356164,0.19444444444444445,14.262595531444493,0
9,400787107,2015,1,False,Hawai'i,Mountain West,28,1347,Colorado,Pac-12,20,1357,-2.5,-8,12.28125,1.2724950504952857,0.46580918268254123,0.16523950479903654,18.88649522228044,1.3020335318090244,0.42675558431617905,0.18988548369572286,13.513453829487744,1
10,400763587,2015,1,False,Georgia State,Sun Belt,20,1092,Charlotte,Conference USA,23,1500,-4.0,3,14.0,1.0727263425266493,0.3953488372093023,0.20833333333333334,6.276451731855269,1.4240058885073739,0.3382352941176471,0.2916666666666667,1.8867570151849316,0
11,400763470,2015,1,False,Western Michigan,Mid-American,24,1444,Michigan State,Big Ten,37,1850,23.5,13,12.0,1.3377241481901085,0.484375,0.11764705882352941,21.52178868510875,1.2430246953011783,0.38235294117647056,0.1875,7.770196567589246,1
12,400764855,2015,1,False,SMU,American Athletic,21,1147,Baylor,Big 12,56,1874,20.0,35,12.0,1.8590943554025219,0.5362318840579711,0.16666666666666666,47.67897483534554,1.2374233608173018,0.3974358974358974,0.2549019607843137,8.073649187862907,0
13,400756888,2015,1,False,Boise State,Mountain West,16,1716,Washington,Pac-12,13,1625,-11.0,-3,13.0,1.282678911052561,0.2542372881355932,0.2857142857142857,-8.69096084475038,1.0104058547948052,0.38271604938271603,0.16,-2.5855794498058176,0
14,400756891,2015,1,False,Northwestern,Big Ten,16,1482,Stanford,Pac-12,6,1747,10.0,-10,11.0,0.8723083761243378,0.3968253968253968,0.2608695652173913,-5.927122087318066,1.272495409353982,0.3048780487804878,0.2777777777777778,3.0147626411743005,1
15,400603831,2015,1,False,Georgia,SEC,51,1856,Louisiana Monroe,Sun Belt,14,1312,-31.0,-37,12.0,1.2583041751544795,0.3392857142857143,0.21739130434782608,6.650777162704664,1.3897599646670842,0.5576923076923077,0.13513513513513514,27.426517226905855,1
16,400763495,2015,1,False,Nebraska,Big Ten,28,1673,BYU,FBS Independents,33,1569,-7.5,5,14.0,1.3843011574264161,0.4305555555555556,0.34782608695652173,14.96744929373213,1.4269978776208032,0.42105263157894735,0.2727272727272727,20.809141653102113,0
17,400756904,2015,1,False,UCLA,Pac-12,34,1690,Virginia,ACC,16,1494,-14.5,-18,11.0,1.0498389312885765,0.4027777777777778,0.15151515151515152,7.18262837906994,1.2239999301423974,0.4931506849315068,0.30303030303030304,19.31265831945773,1
18,400603829,2015,1,True,Auburn,SEC,31,1732,Louisville,ACC,24,1682,-10.5,-7,11.0,1.1238133936110433,0.49382716049382713,0.11627906976744186,19.87353369445138,0.9553563022466901,0.5396825396825397,0.14634146341463414,16.288230753432806,0
19,400763592,2015,1,False,Tulsa,American Athletic,47,1285,Florida Atlantic,Conference USA,44,1311,-21.0,-3,18.0,1.1211138145542117,0.46464646464646464,0.22033898305084745,28.19343798379278,1.387458586308952,0.4827586206896552,0.14583333333333334,33.42761113947886,0
